id,name,popularity,explicit,artists,id_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,88,1,"'SAINt JHN', 'Imanbek'","'0H39MdGGX6dbnnQPt6NQkZ', '5rGrDvrLOV2VV8SCFVGWlj'",0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,4,177.0
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,88,1,'Juice WRLD','4MCBfE4596Uoi2O4DtmEMz',0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,4,240.0
0pqnGHJpmpxLKifKRmU6WP,Believer,88,0,'Imagine Dragons','53XhwfbYqKCa1cC15pYq2q',0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,4,204.0
3UHPGOkUcE4hE7sqBF4Snt,Film out,88,0,'BTS','3Nrfpe0tUJi4K4DXYWgMUX',0.499,0.709,10,-6.404,1,0.134,0.296,0.0,0.331,0.314,164.032,4,215.0
2Fxmhks0bxGSBdJ92vM42m,bad guy,88,0,'Billie Eilish','6qqNVTkY8uBg9cP3Jd7DAH',0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4,194.0
45S5WTQEGOB1VHr1Q4FuPl,Golden,88,0,'Harry Styles','6KImCVD70vtIoJWnq6nGn3',0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,4,209.0
0nbXyq5TXYPCO7pr3N8S4I,The Box,88,1,'Roddy Ricch','757aE44tKEUQEqRuT6GnEB',0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,4,197.0
2b8fOow8UzyDFAE27YhOZM,Memories,88,0,'Maroon 5','04gDigrS5kc9YWfZHwBETP',0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,4,189.0
0E4Y1XIbs8GrAT1YqVy6dq,Afterglow,88,0,'Ed Sheeran','6eUKZXaKkcviH0Ku9w2n3V',0.641,0.324,11,-5.851,1,0.0299,0.698,0.0,0.328,0.273,110.184,4,185.0
1nahzW3kfMuwReTka28tH5,Hold On,88,0,'Justin Bieber','1uNFoZAHBGtllmzznpCI3s',0.658,0.634,1,-6.068,0,0.0431,0.0104,0.0,0.12,0.302,140.002,4,171.0
3H7ihDc1dqLriiWXwsc2po,Breaking Me,88,0,"'Topic', 'A7S'","'0u6GtibW46tFX7koQ6uNJZ', '5Wg2b4Mp42gicxEeDNawf7'",0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,4,167.0
